County,FIPS,Name,StartMonthJan,StartMonthFeb,StartMonthMar,StartMonthApr,StartMonthMay,StartMonthJun,StartMonthJul,StartMonthAug,StartMonthSept,StartMonthOct,StartMonthNov,StartMonthDec,StartYear2013,StartYear2014,StartYear2015,StartYear2016,StartYear2017,StartHour0,StartHour1,StartHour2,StartHour3,StartHour4,StartHour5,StartHour6,StartHour7,StartHour8,StartHour9,StartHour10,StartHour11,StartHour12,StartHour13,StartHour14,StartHour15,StartHour16,StartHour17,StartHour18,StartHour19,StartHour20,StartHour21,StartHour22,StartHour23,StartDayMon,StartDayTues,StartDayWed,StartDayThurs,StartDayFri,StartDaySat,StartDaySun,depressed_raw,suicidal_thoughts_raw,self_harm_raw,third_party_raw,abuse_physical_raw,abuse_sexual_raw,anxiety_raw,bereavement_raw,bully_raw,eating_raw,family_raw,friend_raw,gender_lgbtq_raw,isolated_raw,medical_raw,other_raw,relationship_raw,stress_raw,substance_abuse_raw,financial_raw,mental_raw,none_raw,work_raw,testing_raw,abuse_emotional_raw,domestic_violence_raw,military_raw,school_raw,election_raw,homeless_raw,homicide_raw,medication_raw,psychiatric_hospitalization_raw,therapist_psychiatrist_raw,sexual_assault_raw,suicidal_desire_raw,suicidal_intent_raw,suicidal_capability_raw,suicidal_timeframe_raw,active_rescue_raw,mandatory_report_raw,Convo_length_min_MEAN,Convo_length_min_MEDIAN,Convo_length_min_MIN,Convo_length_min_MAX,convo,NumConvos_MEAN,NumConvos_MEDIAN,NumConvos_MIN,NumConvos_MAX,FirstToLastConvoMin_MEAN,FirstToLastConvoMin_MEDIAN,FirstToLastConvoMin_MIN,FirstToLastConvoMin_MAX,FirstToLastConvoHours_MEAN,FirstToLastConvoHours_MEDIAN,FirstToLastConvoHours_MIN,FirstToLastConvoHours_MAX,FirstToLastConvoDays_MEAN,FirstToLastConvoDays_MEDIAN,FirstToLastConvoDays_MIN,FirstToLastConvoDays_MAX,actor_meanlength_min,NumIssues_MEAN,NumIssues_MEDIAN,NumIssues_MIN,NumIssues_MAX,abuse_emotional_EVER_SUM,abuse_physical_EVER_SUM,abuse_sexual_EVER_SUM,anxiety_EVER_SUM,bereavement_EVER_SUM,bully_EVER_SUM,depressed_EVER_SUM,domestic_violence_EVER_SUM,eating_EVER_SUM,election_EVER_SUM,family_EVER_SUM,financial_EVER_SUM,friend_EVER_SUM,gender_lgbtq_EVER_SUM,homeless_EVER_SUM,homicide_EVER_SUM,isolated_EVER_SUM,medical_EVER_SUM,medication_EVER_SUM,mental_EVER_SUM,military_EVER_SUM,other_EVER_SUM,psychiatric_hospitalization_EVER_SUM,relationship_EVER_SUM,school_EVER_SUM,self_harm_EVER_SUM,sexual_assault_EVER_SUM,stress_EVER_SUM,substance_abuse_EVER_SUM,suicidal_capability_EVER_SUM,suicidal_desire_EVER_SUM,suicidal_intent_EVER_SUM,suicidal_thoughts_EVER_SUM,suicidal_timeframe_EVER_SUM,therapist_psychiatrist_EVER_SUM,work_EVER_SUM,UndupNumIssues_MEAN,UndupNumIssues_MEDIAN,UndupNumIssues_MIN,UndupNumIssues_MAX,Stigma_MEAN,Stigma_MEDIAN,Stigma_MIN,Stigma_MAX
SCHUYLER,36097,Schuyler,0,0,1,0,1,2,0,3,2,0,1,1,0,4,0,4,3,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,5,0,3,1,2,0,2,3,4,0,0,0,3,0,0,0,1,0,0,1,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,56.625,51.41666667,31.88333333,85.43333333,11,2.090909091,3,1,3,93502.19167,93502.19167,36182.75,150821.6333,1558.369861,1558.369861,603.0458333,2513.693889,64.93207755,64.93207755,25.12690972,104.7372454,55.96666667,2.636363636,2,1,7,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,1,4,0,0,0,7,0,2,0,6,0,2,3,1,1,1,7,0,3,0,4.181818182,4,1,7,1.666666667,1,1,3
SENECA,36099,Seneca,3,4,0,23,5,3,5,1,0,5,3,0,0,0,8,32,12,8,8,4,4,5,1,0,2,0,2,0,3,0,0,1,2,0,1,1,0,1,2,5,2,11,3,6,9,3,12,8,19,10,5,1,0,0,17,0,0,1,8,5,0,4,0,7,5,16,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,10,2,2,1,1,0,59.28787879,52.93333337,17.6166667,114.35,52,10,6,1,21,54419.68063,26278.81667,404.1,197161.45,906.9946772,437.9802778,6.735,3286.024167,37.79144488,18.24917824,0.280625,136.9176736,61.93186275,2.230769231,2,0,7,0,0,0,34,0,0,36,0,1,0,25,0,26,0,0,0,7,0,0,22,0,27,0,13,0,27,0,32,4,2,32,2,32,1,0,1,6.230769231,8,0,10,2.604651163,3,1,5
STEUBEN,36101,Steuben,35,21,25,18,34,38,34,19,25,18,35,37,7,29,64,132,107,33,27,25,37,27,24,11,5,6,1,3,4,2,5,11,9,11,15,11,9,11,20,14,18,53,50,49,38,51,43,55,97,106,41,11,4,10,63,5,8,11,62,32,3,42,9,31,43,67,10,6,8,20,4,8,4,1,0,13,0,3,0,2,1,2,0,90,60,52,40,25,12,52.84001142,52.32499998,1.9,115.1833333,339,6.525073746,3,1,25,300325.7079,89816.35,17.23333337,1147200.983,5005.428465,1496.939167,0.287222223,19120.01639,208.5595194,62.37246528,0.011967593,796.6673495,54.85476986,2.743362832,2,0,15,5,23,30,181,17,44,198,1,56,0,176,10,105,3,18,0,133,60,4,18,0,104,10,115,68,114,0,174,30,123,166,132,185,110,9,14,7.185840708,7,0,17,2.225165563,2,1,5
SUFFOLK,36103,Suffolk,388,310,359,338,415,429,503,226,240,236,341,286,76,380,629,1504,1482,314,372,390,356,273,223,106,73,33,26,25,38,58,90,117,118,148,131,163,151,198,196,232,240,627,628,592,543,580,498,603,1113,684,443,120,42,69,757,96,126,158,770,466,172,361,98,291,695,662,81,55,165,222,88,59,49,9,6,201,17,11,1,22,6,29,9,524,234,149,42,21,20,50.27917123,48.34999998,0.500000032,115.8,4071,9.463276836,3,1,80,400387.6216,264208.7083,7.333333302,1905360.583,6673.127026,4403.478472,0.122222222,31756.00972,278.0469594,183.4782697,0.005092593,1323.167072,51.01454657,2.1373127,2,0,13,216,139,241,2030,370,521,2361,51,721,40,2011,197,1535,432,19,25,1344,574,156,655,22,1272,31,1548,862,1268,48,2015,359,712,1461,876,1725,359,267,300,6.574060427,5,0,24,2.521394163,3,1,5
SULLIVAN,36105,Sullivan,20,14,13,4,10,5,22,13,12,18,14,40,21,34,38,46,46,15,26,18,14,10,9,4,3,0,3,1,0,2,5,4,5,5,4,5,9,11,9,11,12,32,19,20,20,36,27,31,55,27,31,12,7,9,24,7,2,7,33,12,4,19,5,13,21,27,0,0,8,7,1,2,1,0,0,5,1,1,0,0,0,0,1,10,6,5,1,0,0,52.18116883,48.40833333,3,115.6166667,185,8.945945946,4,1,24,304634.2772,234611.35,13.2833333,979722.4667,5077.237954,3910.189167,0.221388888,16328.70778,211.5515814,162.9245486,0.009224537,680.3628241,53.91809219,1.854054054,1,0,9,1,46,74,99,21,5,131,0,22,2,65,0,52,14,2,0,85,17,0,33,0,58,0,74,9,64,1,94,0,11,19,11,87,4,0,1,5.956756757,7,0,11,2.4,3,1,5
TIOGA,36107,Tioga,3,3,4,3,7,8,10,5,4,4,4,6,1,20,4,22,14,2,9,14,4,1,3,2,1,1,0,2,1,4,2,0,1,2,2,3,2,1,0,2,2,11,11,7,6,13,8,5,21,18,5,0,0,1,4,13,4,2,6,7,2,4,0,7,8,8,1,2,4,0,1,1,1,1,0,3,0,1,0,1,1,2,0,8,3,0,0,0,0,58.43611112,58.27499998,9.033333365,101.0333333,61,10.16393443,4,1,23,809583.7722,1390569.3,64.55000003,1390569.3,13493.06287,23176.155,1.075833334,23176.155,562.2109529,965.673125,0.044826389,965.673125,59.89058896,2.278688525,2,0,7,1,0,1,9,25,5,38,4,5,0,30,3,31,3,3,0,28,0,4,6,0,31,4,18,26,6,0,35,3,1,33,8,37,0,8,4,6.721311475,9,0,11,2.185185185,2.5,1,5
TOMPKINS,36109,Tompkins,44,29,23,18,29,33,35,17,14,33,36,32,0,25,40,163,115,27,23,36,26,14,13,9,6,4,7,4,3,9,6,9,13,18,15,12,14,17,14,22,22,54,51,53,47,39,51,48,85,76,49,10,3,17,83,3,6,11,58,33,6,34,8,32,74,70,10,8,13,18,4,6,5,0,0,13,3,1,0,2,1,1,0,65,31,18,6,11,7,50.25553728,47.425,2.25,114.6166666,343,6.093294461,4,1,21,218503.5031,114603.35,61.88333333,1480384.767,3641.725052,1910.055833,1.031388889,24673.07944,151.7385438,79.58565972,0.042974537,1028.044977,51.00028421,2.416909621,2,0,14,33,19,55,173,12,18,188,0,20,23,162,19,87,14,7,0,95,64,2,32,0,119,1,143,33,137,0,177,50,68,137,76,161,41,1,11,6.349854227,5,0,15,2.355263158,3,1,5
ULSTER,36111,Ulster,39,36,53,30,59,79,59,43,51,30,38,39,4,106,141,167,138,52,47,61,35,25,27,15,9,5,0,5,7,12,12,10,20,24,14,23,27,24,23,41,38,66,89,88,93,76,67,77,153,103,85,18,8,12,110,11,16,19,97,51,16,45,22,37,79,94,15,13,30,21,8,4,3,1,1,20,2,1,0,4,4,8,0,74,37,25,10,4,3,52.91531353,52.05,2.300000032,115.8166666,556,8.573741007,3,1,39,406478.6152,250627.2833,13.69999997,1534813.217,6774.643586,4177.121389,0.228333333,25580.22028,282.2768161,174.0467245,0.009513889,1065.842512,53.12490258,2.183453237,2,0,11,39,32,36,278,77,67,317,1,86,15,238,52,141,92,1,0,156,135,46,101,1,167,39,210,116,213,0,246,58,74,200,131,266,33,62,46,6.784172662,5,0,20,2.263858093,2,1,5
WARREN,36113,Warren,37,32,49,36,34,53,52,25,18,15,35,33,1,103,61,129,125,37,38,49,28,31,16,9,9,5,0,1,3,7,12,8,12,16,17,12,9,19,28,22,31,61,66,69,59,47,54,63,114,71,69,7,13,5,101,13,4,15,73,41,4,41,12,33,86,83,9,6,16,21,10,5,9,3,3,11,6,0,0,1,1,3,0,59,28,22,13,1,0,53.66491901,51.5,4.299999968,115.8,419,15.55131265,3,1,72,337598.6724,285565.15,26.4,926337.1,5626.64454,4759.419167,0.44,15438.95167,234.4435225,198.3091319,0.018333333,643.2896528,54.4326374,2.334128878,2,0,11,21,90,89,219,85,5,252,17,108,6,203,9,151,20,0,0,160,98,8,44,8,149,7,212,30,173,0,205,44,38,98,50,212,27,4,22,6.835322196,5,0,15,2.425474255,3,1,5
WASHINGTON,36115,Washington,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21666667,15.21666667,15.21666667,15.21666667,1,1,1,1,1, , , , , , , , , , , , ,15.21666667,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5
WAYNE,36117,Wayne,16,4,7,15,24,26,29,8,19,21,6,13,7,10,20,72,79,11,14,14,12,10,5,2,4,3,0,2,2,5,8,13,6,4,12,6,12,5,9,14,15,31,28,38,30,23,15,23,45,46,24,2,4,8,31,8,4,3,36,12,10,26,6,18,20,31,4,0,7,10,2,1,3,1,0,10,0,4,2,0,2,3,0,32,22,13,9,5,1,51.86101532,49.09999998,2.533333333,115.0833333,188,5.590425532,3.5,1,19,70457.49288,21683.06667,75.0333334,651535.8333,1174.291548,361.3844444,1.250555557,10858.93056,48.9288145,15.05768519,0.052106482,452.4554398,52.36252091,2.372340426,2,0,12,10,11,23,77,17,5,98,2,4,0,87,0,48,44,20,11,71,21,0,27,0,57,21,39,34,54,0,79,13,43,63,46,76,17,4,3,5.984042553,4,0,16,2.2375,2,1,5
WESTCHESTER,36119,Westchester,174,179,227,177,168,230,264,89,106,153,183,177,30,172,331,873,721,138,168,195,167,157,128,67,37,22,17,18,29,39,37,48,55,68,79,96,90,98,112,116,146,328,345,291,282,288,301,292,576,356,188,76,20,29,458,36,62,51,389,265,55,195,59,151,371,383,34,41,85,101,55,38,21,11,1,104,20,5,1,10,1,16,7,277,112,74,20,12,8,50.30077824,48.49166668,1.083333302,115.4333333,2127,9.631405736,3,1,68,497815.116,403167.1833,14.50000003,1843877.6,8296.9186,6719.453056,0.241666667,30731.29333,345.7049417,279.9772106,0.010069444,1280.470556,50.91542238,2.133991537,2,0,11,69,115,83,1117,244,215,1245,58,266,46,979,131,776,227,7,1,699,401,29,295,1,615,1,850,487,545,48,1077,98,188,680,306,820,49,84,229,6.149976493,5,0,17,2.568817204,3,1,5
WYOMING,36121,Wyoming,0,1,1,11,4,1,5,1,2,4,2,0,0,0,4,18,10,4,1,5,2,0,3,0,0,1,0,0,1,1,0,2,0,1,2,0,1,4,2,0,2,10,4,1,4,5,1,7,15,12,1,0,0,0,8,1,0,1,2,1,0,2,2,6,7,7,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,9,3,1,1,0,0,51.31034483,46.40000003,13.68333333,108.2833334,32,3.1875,3,1,7,33708.94365,19071.96667,1352.75,86426.08333,561.8157275,317.8661111,22.54583333,1440.434722,23.40898865,13.2444213,0.939409722,60.01811343,50.88001793,2.625,2,1,7,0,0,0,16,4,0,17,0,1,0,8,0,7,0,0,4,7,2,0,7,0,8,0,11,0,4,0,16,1,4,14,11,15,4,0,4,5.15625,4.5,1,10,2.366666667,3,1,5
YATES,36123,Yates,2,3,1,6,3,2,2,0,0,3,2,1,0,0,0,7,18,1,4,2,1,4,1,0,2,1,0,0,0,0,0,2,2,0,1,2,0,0,2,0,0,6,2,4,2,6,2,3,5,3,1,1,1,2,4,0,2,5,4,3,0,2,0,2,3,3,0,2,0,2,0,1,4,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,48.57999999,46.03333333,6.15,92.8833333,25,4.12,3,1,8,118881.5456,54179.73333,2423.733333,252230.4667,1981.359094,902.9955556,40.39555556,4203.841111,82.5566289,37.62481481,1.683148148,175.1600463,48.57999999,2.08,2,0,6,12,8,8,10,0,6,17,0,10,0,9,7,7,0,2,0,4,0,0,0,0,3,0,11,7,3,0,10,0,0,1,0,4,0,0,0,5.56,6,0,8,2.391304348,3,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
